name,family,ticker,category,is_sharpe,oos_sharpe,oos_drawdown,trade_count
low_vol_regime__period60__ma_period252,low_vol_regime,XLI,volatility,-0.0045,0.0311,-0.2458,94
low_vol_regime__period120__ma_period252,low_vol_regime,XLI,volatility,0.2124,0.4414,-0.1071,28
nr_breakout__nr_period4__exit_bars3,nr_breakout,XLI,pattern,0.2018,-0.1003,-0.2789,999
nr_breakout__nr_period4__exit_bars5,nr_breakout,XLI,pattern,0.0143,-0.099,-0.2627,750
nr_breakout__nr_period7__exit_bars3,nr_breakout,XLI,pattern,-0.0838,0.2448,-0.2006,694
nr_breakout__nr_period7__exit_bars5,nr_breakout,XLI,pattern,0.1907,0.7473,-0.1283,595
nr_breakout__nr_period10__exit_bars5,nr_breakout,XLI,pattern,0.2201,0.3913,-0.1405,489
nr_breakout__nr_period10__exit_bars10,nr_breakout,XLI,pattern,-0.202,-0.0726,-0.1807,401
overnight_gap__period1__threshold0.001,overnight_gap,XLI,volume,-0.3189,0.6567,-0.1912,2315
overnight_gap__period1__threshold0.003,overnight_gap,XLI,volume,-0.1506,0.2218,-0.2454,2302
overnight_gap__period3__threshold0.001,overnight_gap,XLI,volume,0.0071,0.0563,-0.247,1519
overnight_gap__period3__threshold0.003,overnight_gap,XLI,volume,0.2134,0.8476,-0.1692,1076
overnight_gap__period5__threshold0.001,overnight_gap,XLI,volume,-0.1468,-0.4386,-0.3144,1249
overnight_gap__period5__threshold0.003,overnight_gap,XLI,volume,-0.1448,-0.0152,-0.1463,702
coppock_curve__roc1252__roc2189__wma_period63,coppock_curve,XLI,trend,-0.1653,0.3955,-0.3073,10
coppock_curve__roc1189__roc2126__wma_period42,coppock_curve,XLI,trend,0.1689,0.4535,-0.291,12
coppock_curve__roc1126__roc2100__wma_period21,coppock_curve,XLI,trend,0.3355,0.0407,-0.3655,28
high52_momentum__period252__threshold0.7,high52_momentum,XLU,trend,0.1037,-0.1964,-0.4184,171
high52_momentum__period252__threshold0.75,high52_momentum,XLU,trend,0.193,-0.0463,-0.3182,204
high52_momentum__period252__threshold0.8,high52_momentum,XLU,trend,0.1165,-0.2914,-0.3381,256
